t,u,v,w,p,q,r,x,y,z,phi,theta,psi,U1,U2,U3,U4,Ix_hat,Iy_hat,Iz_hat,x_ref,y_ref,z_ref,psi_ref
4.9,0.286515,-0.176817,0.922323,0.022692,0.00624905,0.157396,1.11517,1.35213,3.82461,-0.0170834,-0.000108308,2.30898,7.51919,0.000925026,0.000342312,6.85675e-05,0.0034,0.0034,0.006,1.43573,1.3913,3.64482,2.30907
5,0.283771,-0.164006,1.01903,0.00616053,-0.000337213,0.157696,1.10715,1.38355,3.92195,-0.0156379,0.000444482,2.32473,7.51919,-0.000560854,-0.000229837,1.80341e-05,0.0034,0.0034,0.006,1.41352,1.41352,3.68427,2.32478
5.1,0.281898,-0.152963,1.11543,0.000970354,-0.00154861,0.15714,1.09787,1.41385,4.0289,-0.0152731,0.000593336,2.34047,7.51919,-0.00017685,-4.26474e-05,-3.33837e-05,0.0034,0.0034,0.006,1.3913,1.43573,3.72371,2.34049
5.2,0.280438,-0.142551,1.21171,-0.00420495,-0.00282235,0.156584,1.08735,1.44305,4.14547,-0.0154253,0.000615415,2.35616,7.51919,-0.00017685,-4.26474e-05,-3.33837e-05,0.0034,0.0034,0.006,1.36909,1.45794,3.76316,2.35619
5.3,0.278974,-0.131082,1.26691,0.0185058,0.00258785,0.157277,1.07564,1.47115,4.2696,-0.014699,0.000840752,2.37185,7.2313,0.00077211,0.000181025,4.15879e-05,0.0034,0.0034,0.006,1.34553,1.47871,3.85143,2.3719
5.4,0.277903,-0.120227,1.32218,0.00489306,-0.00103497,0.15742,1.06282,1.49822,4.39922,-0.0135134,0.00113992,2.38758,7.2313,-0.000462511,-0.00012796,8.58574e-06,0.0034,0.0034,0.006,1.32197,1.49948,3.9397,2.38761
5.5,0.277419,-0.111143,1.37727,0.000685494,-0.00149793,0.157109,1.04894,1.52434,4.53433,-0.0132158,0.00122333,2.40331,7.2313,-0.000143574,-1.68814e-05,-1.86768e-05,0.0034,0.0034,0.006,1.29841,1.52025,4.02796,2.40332
5.6,0.277207,-0.102706,1.4323,-0.00351624,-0.00201143,0.156797,1.03404,1.54953,4.67494,-0.0133379,0.00125613,2.419,7.2313,-0.000143574,-1.68814e-05,-1.86768e-05,0.0034,0.0034,0.006,1.27485,1.54103,4.11623,2.41903
5.7,0.277078,-0.0933447,1.43594,0.0139926,4.4342e-05,0.157199,1.01817,1.5738,4.81847,-0.0127936,0.00136345,2.4347,6.87206,0.000594892,6.77563e-05,2.40753e-05,0.0034,0.0034,0.006,1.25003,1.56028,4.23937,2.43473
5.8,0.277197,-0.0844142,1.43961,0.00360142,-0.00148715,0.157251,1.00137,1.5972,4.96234,-0.0118914,0.00148504,2.45043,6.87206,-0.00035359,-5.56657e-05,3.14061e-06,0.0034,0.0034,0.006,1.22521,1.57953,4.36252,2.45044
