t,u,v,w,p,q,r,x,y,z,phi,theta,psi,U1,U2,U3,U4,Ix_hat,Iy_hat,Iz_hat,x_ref,y_ref,z_ref,psi_ref
3.5,0.435057,-0.472479,-1.09984,0.00861359,-0.00314617,0.153189,1.09466,0.801244,3.82258,-0.0323808,-0.00991626,2.08834,8.06137,0.00216219,0.00107719,-0.00112642,0.00441764,0.00442205,0.00479973,1.70465,1.04462,4.51492,2.08916
3.6,0.420151,-0.451194,-0.923491,0.0575201,0.0212681,0.129722,1.11542,0.863712,3.72288,-0.0292073,-0.00856912,2.10245,8.06137,0.00216219,0.00107719,-0.00112642,0.00441764,0.00442206,0.00479973,1.68866,1.07165,4.38047,2.10487
3.7,0.406303,-0.431482,-0.758134,-0.0307525,-0.00807404,0.17859,1.13378,0.923616,3.6401,-0.0279886,-0.00748001,2.11784,7.99254,-0.00390138,-0.00129741,0.00234568,0.00441764,0.00442206,0.00479973,1.671,1.09763,4.27047,2.12058
3.8,0.390912,-0.408032,-0.594947,-0.0160358,-0.00911292,0.169493,1.14983,0.981092,3.5737,-0.0304612,-0.00782868,2.13526,7.99254,0.000649892,-4.43162e-05,-0.000436656,0.00441765,0.00442206,0.00479973,1.65334,1.12361,4.16047,2.13628
3.9,0.37636,-0.383582,-0.430842,0.00547079,-0.00371454,0.15506,1.16342,1.03596,3.52365,-0.0311183,-0.00796761,2.1515,7.99254,0.000950169,0.000238962,-0.000692807,0.00441765,0.00442206,0.00479973,1.63569,1.14959,4.05048,2.15199
4,0.363139,-0.359624,-0.26573,0.0269692,0.00171349,0.140626,1.17454,1.08812,3.48997,-0.029612,-0.00761613,2.16629,7.99254,0.000950169,0.000238962,-0.000692807,0.00441765,0.00442206,0.00479973,1.61803,1.17557,3.94048,2.1677
4.1,0.350817,-0.33734,-0.1181,0.00452867,0.0103454,0.169377,1.18336,1.13768,3.47179,-0.0281477,-0.00656892,2.18176,7.86949,-0.000991552,0.00038073,0.00138001,0.00441765,0.00442206,0.00479973,1.59878,1.20039,3.8723,2.18341
4.2,0.339532,-0.315639,0.0290279,0.00123287,0.000999953,0.165224,1.19,1.18481,3.46826,-0.0279596,-0.00553298,2.19847,7.86949,-0.000145307,-0.000413253,-0.000199324,0.00441765,0.00442206,0.00479973,1.57953,1.22521,3.80412,2.19911
4.3,0.329422,-0.293612,0.175878,0.0030743,-0.00370667,0.15613,1.19446,1.22958,3.47935,-0.02783,-0.00521987,2.21454,7.86949,8.13068e-05,-0.000208168,-0.000436531,0.00441765,0.00442206,0.00479973,1.56028,1.25003,3.73594,2.21482
4.4,0.320124,-0.271277,0.322618,0.00492198,-0.00841096,0.147035,1.19676,1.272,3.50505,-0.0275102,-0.0054059,2.22971,7.86949,8.13068e-05,-0.000208168,-0.000436531,0.00441765,0.00442206,0.00479973,1.54103,1.27485,3.66776,2.23053
4.5,0.310792,-0.249124,0.448777,0.0266901,0.0169822,0.164033,1.197,1.31207,3.54429,-0.0260099,-0.00455895,2.24524,7.72162,0.000962401,0.0011215,0.000815912,0.00441765,0.00442206,0.00479973,1.52025,1.29841,3.65216,2.24624
4.6,0.30271,-0.228676,0.575145,0.0121418,0.00523028,0.162459,1.19532,1.34995,3.59608,-0.0241288,-0.00304122,2.26153,7.72162,-0.000642343,-0.000520648,-7.55528e-05,0.00441765,0.00442206,0.00479973,1.49948,1.32197,3.63656,2.26195
4.7,0.296481,-0.209766,0.700852,0.00127964,-0.00333386,0.156661,1.19178,1.38587,3.66038,-0.0235014,-0.00256774,2.27748,7.72162,-0.000480046,-0.000378953,-0.000278299,0.00441765,0.00442206,0.00479973,1.47871,1.34553,3.62097,2.27765
4.8,0.291343,-0.191425,0.826073,-0.00957086,-0.011913,0.150864,1.18645,1.41986,3.73719,-0.0239575,-0.00296633,2.29287,7.72162,-0.000480046,-0.000378953,-0.000278299,0.00441765,0.00442206,0.00479973,1.45794,1.36909,3.60537,2.29336
4.9,0.285443,-0.171451,0.922609,0.0372424,0.0163708,0.161074,1.17938,1.45191,3.82501,-0.0226189,-0.00237484,2.30846,7.51711,0.00206928,0.00124935,0.000490122,0.00441765,0.00442206,0.00479973,1.43573,1.3913,3.64482,2.30907
5,0.280247,-0.152657,1.01954,0.0174757,0.00572118,0.160556,1.17068,1.48213,3.92245,-0.0199081,-0.000930944,2.32452,7.51711,-0.000873012,-0.00047239,-2.48749e-05,0.00441765,0.00442206,0.00479973,1.41352,1.41352,3.68427,2.32478
5.1,0.277181,-0.137196,1.11584,2.26726e-05,-0.00279118,0.15689,1.16049,1.51081,4.02948,-0.0190434,-0.000477434,2.34038,7.51711,-0.000771333,-0.000376784,-0.00017596,0.00441765,0.00442206,0.00479973,1.3913,1.43573,3.72371,2.34049
5.2,0.27539,-0.123537,1.21167,-0.0174188,-0.0113274,0.153225,1.14884,1.538,4.14609,-0.0199227,-0.000883245,2.3559,7.51711,-0.000771333,-0.000376784,-0.00017596,0.00441765,0.00442206,0.00479973,1.36909,1.45794,3.76316,2.35619
5.3,0.272631,-0.106973,1.26682,0.0391215,0.0122255,0.159451,1.13579,1.56365,4.27021,-0.0188514,-0.000528576,2.37153,7.23009,0.00249911,0.0010404,0.000298891,0.00441765,0.00442206,0.00479973,1.34553,1.47871,3.85143,2.3719
5.4,0.270088,-0.090657,1.32231,0.0185996,0.00429225,0.159238,1.12141,1.58788,4.39982,-0.015964,0.000572092,2.38745,7.23009,-0.000906569,-0.0003524,-1.02557e-05,0.00441766,0.00442206,0.00479973,1.32197,1.49948,3.9397,2.38761
5.5,0.269402,-0.0786655,1.37736,-0.000742273,-0.00222254,0.156979,1.10586,1.61094,4.53492,-0.0150585,0.000918499,2.40325,7.23009,-0.000854846,-0.000288497,-0.00010842,0.00441766,0.00442206,0.00479973,1.29841,1.52025,4.02796,2.40332
